TableName;ApproxRowCount;ColumnCount
---------;--------------;-----------
T_EAIMandanten;0;54
T_Maschine_Werkzeug;55;9
T_PA_Werkzeug;129;9
T_PartnerWerke;0;7
T_tmpAmoWerkzeug;0;16
T_tmpBudget_eMis_WerkzeugAMO;0;21
T_tmpBudgetWerkzeugBedarf;0;10
T_tmpBudgetWerkzeugliste;0;6
T_Werke;526;36
T_Werkzeug;54;35
T_Werkzeug_Blaskopf;0;8
T_ZentraleWerkzeuge;18707;13

(12 rows affected)

TABLE_NAME;COLUMN_NAME;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;IS_NULLABLE
----------;-----------;---------;------------------------;-----------
Alpla_Blowheads;werk_id;int;;NO
ALPLA_GRAV_NUMBERS;stamm_werkzg_nr;nvarchar;100;YES
ALPLA_MD_WERK;werk_id;int;;NO
ALPLA_MD_WERK;werk_name;nvarchar;70;NO
ALPLA_MD_WERK;werk_country_id;nvarchar;50;NO
ALPLA_MD_WERK;werk_mail;nvarchar;70;NO
ALPLA_MD_WERK;werk_RepKennz;nvarchar;50;NO
ALPLA_MD_WERK;werk_DINISOzert;nvarchar;50;NO
ALPLA_MD_WERK;werk_curr_id;nvarchar;50;NO
ALPLA_MD_WERK;werk_Firmennummer;nvarchar;70;NO
ALPLA_MD_WERK;werk_incl_olap;int;;NO
ALPLA_MD_WERK;werk_Firmennummer_soplar;nvarchar;70;NO
ALPLA_MD_WERK;werk_server;nvarchar;100;NO
ALPLA_MD_WERK;werk_db;nvarchar;100;NO
ALPLA_MD_WERK;werk_shortcut;nvarchar;50;NO
ALPLA_MD_WERK;werk_OrgRegion_id;int;;NO
ALPLA_MD_WERK;werk_close_date;datetime;;YES
ALPLA_MD_WERK;werk_ReplicationServer;nvarchar;100;NO
ALPLA_MD_WERK;werk_LocationType;int;;NO
syncobj_0x3034353337374537;IdWerkzeug;int;;NO
syncobj_0x3043333644413037;WerkzeugBez;nvarchar;100;YES
syncobj_0x3045343245334534;IdWerk;int;;NO
syncobj_0x3045343245334534;werk_id;int;;NO
syncobj_0x3045343245334534;werk_name;nvarchar;70;NO
syncobj_0x3045343245334534;werk_country_id;nvarchar;50;NO
syncobj_0x3045343245334534;werk_mail;nvarchar;70;NO
syncobj_0x3045343245334534;werk_RepKennz;nvarchar;50;NO
syncobj_0x3045343245334534;werk_DINISOzert;nvarchar;50;NO
syncobj_0x3045343245334534;werk_curr_id;nvarchar;50;NO
syncobj_0x3045343245334534;werk_Firmennummer;nvarchar;70;NO
syncobj_0x3045343245334534;werk_incl_olap;int;;NO
syncobj_0x3045343245334534;werk_Firmennummer_soplar;nvarchar;70;NO
syncobj_0x3045343245334534;werk_server;nvarchar;100;NO
syncobj_0x3045343245334534;werk_db;nvarchar;100;NO
syncobj_0x3045343245334534;werk_shortcut;nvarchar;50;NO
syncobj_0x3045343245334534;werk_OrgRegion_id;int;;NO
syncobj_0x3045343245334534;werk_close_date;datetime;;YES
syncobj_0x3045343245334534;werk_ReplicationServer;nvarchar;100;NO
syncobj_0x3045343245334534;werk_LocationType;int;;NO
syncobj_0x3045343245334534;werk_company;int;;YES
syncobj_0x3045343245334534;werk_suffix;nvarchar;10;NO
syncobj_0x3045433141433846;GeplanteMenge;float;;YES
syncobj_0x3045433141433846;GeplanteMengeVPK;float;;YES
syncobj_0x3131343044353143;IdWerkzeugBlaskopf;int;;NO
