TableName;ApproxRowCount;ColumnCount
---------;--------------;-----------
T_BestellMengenGrenzen;0;11
T_Bestellpositionen;2507;29
T_BestellPositionenBewertungen;0;11
T_Bestellung;0;23
T_Bestellungen;2549;21
T_BestellungenJournal;2550;8
T_Bestellvorschlaege;0;26
T_BlockingOrders;0;20
T_BlockingOrders_Positions;0;15
T_BlockingOrdersAdditionalDefects;0;8
T_EAIJournalBestellPosition;2929;56
T_RahmenBestellung;0;17
T_RahmenBestellungPosition;0;20
T_ReworkOrders;0;8

(14 rows affected)
TABLE_NAME;COLUMN_NAME;ORDINAL_POSITION;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;NUMERIC_PRECISION;NUMERIC_SCALE;IS_NULLABLE;COLUMN_DEFAULT
T_Bestellung;IdVpkVorschrift;16;int;NULL;10;0;YES;NULL
T_Bestellung;VpkVorschriftBez;17;nvarchar;100;NULL;NULL;NO;NULL
T_Bestellung;MengeProVpk;18;float;NULL;53;NULL;YES;NULL
T_Bestellung;Bestellt;19;int;NULL;10;0;YES;NULL
T_Bestellung;IdArtikeltyp;20;int;NULL;10;0;YES;NULL
T_Bestellung;IdArtikelvariantenTyp;21;int;NULL;10;0;YES;NULL
T_Bestellung;IdRahmenBestellungPosition;22;int;NULL;10;0;YES;NULL
T_Bestellung;IdJournal;23;int;NULL;10;0;YES;NULL
T_Bestellungen;IdBestellung;1;int;NULL;10;0;NO;NULL
T_Bestellungen;IdLieferant;2;int;NULL;10;0;NO;NULL
T_Bestellungen;Status;3;int;NULL;10;0;YES;NULL
T_Bestellungen;UebermittlungsStatus;4;int;NULL;10;0;YES;NULL
T_Bestellungen;IdJournal;5;int;NULL;10;0;NO;NULL
T_Bestellungen;Add_User;6;nvarchar;50;NULL;NULL;NO;NULL
T_Bestellungen;Add_Date;7;datetime;NULL;NULL;NULL;NO;NULL
T_Bestellungen;Upd_User;8;nvarchar;50;NULL;NULL;YES;NULL
T_Bestellungen;Upd_Date;9;datetime;NULL;NULL;NULL;YES;NULL
T_Bestellungen;JournalNummer;10;nvarchar;50;NULL;NULL;YES;NULL
T_Bestellungen;Bestaetigt;11;int;NULL;10;0;YES;NULL
T_Bestellungen;Revision;12;int;NULL;10;0;YES;NULL
T_Bestellungen;IdKundenAdresse;13;int;NULL;10;0;YES;NULL
T_Bestellungen;IdLieferAdresse;14;int;NULL;10;0;YES;NULL
T_Bestellungen;IdRechnungsAdresse;15;int;NULL;10;0;YES;NULL
T_Bestellungen;Bemerkung;16;nvarchar;1024;NULL;NULL;YES;NULL
T_Bestellungen;IdZahlKond;17;int;NULL;10;0;YES;NULL
T_Bestellungen;Skonto;18;float;NULL;53;NULL;YES;NULL
T_Bestellungen;SkontoTage;19;int;NULL;10;0;YES;NULL
T_Bestellungen;NettoTage;20;int;NULL;10;0;YES;NULL
T_Bestellungen;AXAuftragsNummer;21;nvarchar;50;NULL;NULL;NO;NULL
T_BestellungenJournal;IdBestellungJournal;1;int;NULL;10;0;NO;NULL
T_BestellungenJournal;IdBestellung;2;int;NULL;10;0;NO;NULL
T_BestellungenJournal;IdJournal;3;int;NULL;10;0;NO;NULL
T_BestellungenJournal;Revision;4;int;NULL;10;0;NO;NULL
T_BestellungenJournal;Add_User;5;nvarchar;50;NULL;NULL;NO;NULL
T_BestellungenJournal;Add_Date;6;datetime;NULL;NULL;NULL;NO;NULL
T_BestellungenJournal;Upd_User;7;nvarchar;50;NULL;NULL;YES;NULL
T_BestellungenJournal;Upd_Date;8;datetime;NULL;NULL;NULL;YES;NULL
T_Bestellvorschlaege;IdBestellvorschlag;1;int;NULL;10;0;NO;NULL
T_Bestellvorschlaege;IdBestellung;2;int;NULL;10;0;YES;NULL
T_Bestellvorschlaege;IdLieferant;3;int;NULL;10;0;NO;NULL
T_Bestellvorschlaege;IdArtikelVarianten;4;int;NULL;10;0;NO;NULL
T_Bestellvorschlaege;BestellDatum;5;datetime;NULL;NULL;NULL;NO;NULL
T_Bestellvorschlaege;Lieferdatum;6;datetime;NULL;NULL;NULL;NO;NULL
T_Bestellvorschlaege;BestellMenge;7;float;NULL;53;NULL;NO;NULL
T_Bestellvorschlaege;BestellMengeVPK;8;float;NULL;53;NULL;NO;NULL
T_Bestellvorschlaege;Add_User;9;nvarchar;50;NULL;NULL;NO;NULL
T_Bestellvorschlaege;Add_Date;10;datetime;NULL;NULL;NULL;NO;NULL
T_Bestellvorschlaege;Upd_User;11;nvarchar;50;NULL;NULL;YES;NULL
T_Bestellvorschlaege;Upd_Date;12;datetime;NULL;NULL;NULL;YES;NULL
T_Bestellvorschlaege;IdMengeneinheit;13;int;NULL;10;0;YES;NULL
T_Bestellvorschlaege;IdPreisLogik;14;int;NULL;10;0;YES;NULL
T_Bestellvorschlaege;IdPreisEinheit;15;int;NULL;10;0;YES;NULL
T_Bestellvorschlaege;PreisProEinheit;16;float;NULL;53;NULL;YES;NULL
T_Bestellvorschlaege;IdVpkVorschrift;17;int;NULL;10;0;YES;NULL
T_Bestellvorschlaege;MengeProVpk;18;float;NULL;53;NULL;YES;NULL
T_Bestellvorschlaege;Bestellt;19;int;NULL;10;0;NO;NULL
T_Bestellvorschlaege;IdArtikeltyp;20;int;NULL;10;0;NO;NULL
T_Bestellvorschlaege;IdArtikelvariantenTyp;21;int;NULL;10;0;NO;NULL
T_Bestellvorschlaege;IdRahmenbestellungPosition;22;int;NULL;10;0;NO;NULL
T_Bestellvorschlaege;IdJournal;23;int;NULL;10;0;NO;NULL
T_Bestellvorschlaege;Preistyp;24;int;NULL;10;0;YES;NULL
T_Bestellvorschlaege;IdHistoryEKKunde;25;int;NULL;10;0;YES;NULL
T_Bestellvorschlaege;AxStatus;26;int;NULL;10;0;NO;NULL
T_EAIJournalBestellPosition;IdJournalBestellPosition;1;int;NULL;10;0;NO;NULL
T_EAIJournalBestellPosition;IdJournal;2;int;NULL;10;0;NO;NULL
T_EAIJournalBestellPosition;PositionNr;3;int;NULL;10;0;YES;NULL
T_EAIJournalBestellPosition;PositionBez;4;nvarchar;255;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;BestellDatum;5;datetime;NULL;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;Liefertermin;6;datetime;NULL;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;IdAuftrag;7;int;NULL;10;0;YES;NULL
T_EAIJournalBestellPosition;AuftragsNummer;8;nvarchar;50;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;IdAuftragsPosition;9;int;NULL;10;0;YES;NULL
T_EAIJournalBestellPosition;AuftragsPositionsNummer;10;nvarchar;50;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;IdArtikelTyp;11;int;NULL;10;0;YES;NULL
T_EAIJournalBestellPosition;IdProduktionsArtikel;12;int;NULL;10;0;YES;NULL
T_EAIJournalBestellPosition;ProduktionsArtikelBez;13;nvarchar;50;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;IdArtikelVarianten;14;int;NULL;10;0;YES;NULL
T_EAIJournalBestellPosition;ArtikelVariantenBez;15;nvarchar;50;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;ArtikelVariantenAlias;16;nvarchar;100;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;KundenArtikelNummer;17;nvarchar;100;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;KundenArtikelBez;18;nvarchar;100;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;BestellMenge;19;float;NULL;53;NULL;YES;NULL
T_EAIJournalBestellPosition;BestellMengeVPK;20;float;NULL;53;NULL;YES;NULL
T_EAIJournalBestellPosition;BestaetigteMenge;21;float;NULL;53;NULL;YES;NULL
T_EAIJournalBestellPosition;BestaetigteMengeVPK;22;float;NULL;53;NULL;YES;NULL
T_EAIJournalBestellPosition;RestAbrufMenge;23;float;NULL;53;NULL;YES;NULL
T_EAIJournalBestellPosition;RestAbrufMengeVPK;24;float;NULL;53;NULL;YES;NULL
T_EAIJournalBestellPosition;IdMengenEinheit;25;int;NULL;10;0;YES;NULL
T_EAIJournalBestellPosition;MengenEinheitBez;26;nvarchar;50;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;Bemerkung;27;nvarchar;255;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;Add_User;28;nvarchar;50;NULL;NULL;NO;NULL
T_EAIJournalBestellPosition;Add_Date;29;datetime;NULL;NULL;NULL;NO;NULL
T_EAIJournalBestellPosition;Upd_User;30;nvarchar;50;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;Upd_Date;31;datetime;NULL;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;IdBestellVorschlag;32;int;NULL;10;0;YES;NULL
T_EAIJournalBestellPosition;BestellVorschlagBez;33;nvarchar;50;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;BestellVorschlagDatum;34;datetime;NULL;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;AuftragsDatum;35;datetime;NULL;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;AuftragsPositionsDatum;36;datetime;NULL;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;IdHauptmaterial;37;int;NULL;10;0;YES;NULL
T_EAIJournalBestellPosition;HauptmaterialBez;38;nvarchar;100;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;IdVpkVorschrift;39;int;NULL;10;0;YES;NULL
T_EAIJournalBestellPosition;VpkVorschriftBez;40;nvarchar;100;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;ArtikelTypBez;41;nvarchar;50;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;IdArtikelVariantenTyp;42;int;NULL;10;0;YES;NULL
T_EAIJournalBestellPosition;ArtikelVariantenTypBez;43;nvarchar;50;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;Guid;44;uniqueidentifier;NULL;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;AnzahlAVProVpk;45;int;NULL;10;0;YES;NULL
T_EAIJournalBestellPosition;AnzahlAVProHE;46;int;NULL;10;0;YES;NULL
T_EAIJournalBestellPosition;IdTransportEinheit;47;int;NULL;10;0;YES;NULL
T_EAIJournalBestellPosition;TransportEinheitBez;48;nvarchar;100;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;IdHandelsEinheit;49;int;NULL;10;0;YES;NULL
T_EAIJournalBestellPosition;HandelsEinheitBez;50;nvarchar;100;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;BestellMengeTE;51;int;NULL;10;0;YES;NULL
T_EAIJournalBestellPosition;BestellMengeHE;52;int;NULL;10;0;YES;NULL
T_EAIJournalBestellPosition;GTIN;53;nvarchar;15;NULL;NULL;YES;NULL
T_EAIJournalBestellPosition;TransportEinheitTyp;54;int;NULL;10;0;YES;NULL
T_EAIJournalBestellPosition;HandelsEinheitTyp;55;int;NULL;10;0;YES;NULL
T_EAIJournalBestellPosition;Ursprungsland;56;nvarchar;50;NULL;NULL;YES;NULL
T_RahmenBestellung;IdRahmenBestellung;1;int;NULL;10;0;NO;NULL
T_RahmenBestellung;IdLieferantenAdresse;2;int;NULL;10;0;NO;NULL
T_RahmenBestellung;IdLieferAdresse;3;int;NULL;10;0;NO;NULL
T_RahmenBestellung;IdRechnungsAdresse;4;int;NULL;10;0;NO;NULL
T_RahmenBestellung;RahmenBestellungNummer;5;nvarchar;50;NULL;NULL;NO;NULL
T_RahmenBestellung;GueltigVonDatum;6;datetime;NULL;NULL;NULL;NO;NULL
T_RahmenBestellung;GueltigBisDatum;7;datetime;NULL;NULL;NULL;NO;NULL
T_RahmenBestellung;Bemerkung;8;nvarchar;250;NULL;NULL;NO;NULL
T_RahmenBestellung;IdLieferkondition;9;int;NULL;10;0;NO;NULL
T_RahmenBestellung;LieferkonditionBez;10;nvarchar;250;NULL;NULL;NO;NULL
T_RahmenBestellung;IdZahlkond;11;int;NULL;10;0;NO;NULL
T_RahmenBestellung;ZahlkondBez;12;nvarchar;250;NULL;NULL;NO;NULL
T_RahmenBestellung;Aktiv;13;int;NULL;10;0;YES;NULL
T_RahmenBestellung;Add_User;14;nvarchar;50;NULL;NULL;NO;NULL
T_RahmenBestellung;Add_Date;15;datetime;NULL;NULL;NULL;NO;NULL
T_RahmenBestellung;Upd_User;16;nvarchar;50;NULL;NULL;YES;NULL
T_RahmenBestellung;Upd_Date;17;datetime;NULL;NULL;NULL;YES;NULL
T_RahmenBestellungPosition;IdRahmenBestellungPosition;1;int;NULL;10;0;NO;NULL
T_RahmenBestellungPosition;IdRahmenBestellung;2;int;NULL;10;0;NO;NULL
T_RahmenBestellungPosition;IdArtikelvarianten;3;int;NULL;10;0;NO;NULL
T_RahmenBestellungPosition;IdLieferantenAdresse;4;int;NULL;10;0;NO;NULL
T_RahmenBestellungPosition;IdLieferAdresse;5;int;NULL;10;0;NO;NULL
T_RahmenBestellungPosition;IdRechnungsAdresse;6;int;NULL;10;0;NO;NULL
T_RahmenBestellungPosition;PositionsNummer;7;nvarchar;50;NULL;NULL;NO;NULL
T_RahmenBestellungPosition;GueltigVonDatum;8;datetime;NULL;NULL;NULL;NO;NULL
T_RahmenBestellungPosition;GueltigBisDatum;9;datetime;NULL;NULL;NULL;NO;NULL
T_RahmenBestellungPosition;PositionsMenge;10;float;NULL;53;NULL;YES;NULL
T_RahmenBestellungPosition;PositionsBemerkung;11;nvarchar;250;NULL;NULL;YES;NULL
T_RahmenBestellungPosition;IdVpkVorschrift;12;int;NULL;10;0;YES;NULL
T_RahmenBestellungPosition;VpkVorschriftBez;13;nvarchar;100;NULL;NULL;YES;NULL
T_RahmenBestellungPosition;Add_User;14;nvarchar;50;NULL;NULL;NO;NULL
T_RahmenBestellungPosition;Add_Date;15;datetime;NULL;NULL;NULL;NO;NULL
T_RahmenBestellungPosition;Upd_User;16;nvarchar;50;NULL;NULL;YES;NULL
T_RahmenBestellungPosition;Upd_Date;17;datetime;NULL;NULL;NULL;YES;NULL
T_RahmenBestellungPosition;aktiv;18;int;NULL;10;0;YES;NULL
T_RahmenBestellungPosition;PreisProEinheit;19;float;NULL;53;NULL;YES;NULL
T_RahmenBestellungPosition;MindestMengeOffen;20;float;NULL;53;NULL;YES;NULL

(222 rows affected)
TABLE_NAME;COLUMN_NAME;DATA_TYPE
----------;-----------;---------
syncobj_0x3030343244373339;IdRezPos;int
syncobj_0x3031453636454431;ProductionReport_ProductionReportId;int
syncobj_0x3032373243393143;IdHmt_eReporting;int
syncobj_0x3034353337374537;ImportQuelle;int
syncobj_0x3034363234464337;IdEntladePosition;int
syncobj_0x3034383636354246;Port;int
syncobj_0x3034383636354246;LabelInstanz_Port;int
syncobj_0x3036384341383934;IdInventurPosition;int
syncobj_0x3039373443443136;IdJournalPosition;int
syncobj_0x3039373443443136;IdJournalWarenPosition;int
syncobj_0x3039373443443136;IdJournalBestellPosition;int
syncobj_0x3039373443443136;IdBestellPosition;int
syncobj_0x3039373443443136;IdBestellung;int
syncobj_0x3039373443443136;BestellPositionStatus;int
syncobj_0x3041384543433538;IdLieferscheinPosition;int
syncobj_0x3041384543433538;Position;int
syncobj_0x3042364139423038;MaxPositionen;int
syncobj_0x3042464142373036;IdJournalBestellPosition;int
syncobj_0x3042464142373036;PositionNr;int
syncobj_0x3042464142373036;IdAuftragsPosition;int
syncobj_0x3042464142373036;IdBestellVorschlag;int
syncobj_0x3042464142373036;IdTransportEinheit;int
syncobj_0x3042464142373036;BestellMengeTE;int
syncobj_0x3042464142373036;BestellMengeHE;int
syncobj_0x3042464142373036;TransportEinheitTyp;int
syncobj_0x3043393236463437;IdLieferantenReklamationsPosition;int
syncobj_0x3043393236463437;PositionsStatus;int
syncobj_0x3045433141433846;IdAuftragsPosition;int
syncobj_0x3045433141433846;IdEDIDokumentPosition;int
syncobj_0x3045433141433846;Importiert;int
syncobj_0x3045433141433846;EdiImportStatus;int
syncobj_0x3045433141433846;EdiImportPlausiKategorie;int
syncobj_0x3045433141433846;EdiImportPlausi;int
syncobj_0x3130414441443637;IdBestellPositionenBewertung;int
syncobj_0x3130414441443637;IdBestellPosition;int
syncobj_0x3131363130434433;IdBestellungJournal;int
syncobj_0x3131363130434433;IdBestellung;int
syncobj_0x3132373642344433;TransportKostenDokumentiert;int
syncobj_0x3133324534443536;IdAuftragsPosition;int
syncobj_0x3134423035313534;IdJournalBestellPosition;int
syncobj_0x3134423035313534;PositionNr;int
syncobj_0x3134423035313534;IdAuftragsPosition;int
syncobj_0x3134423035313534;IdBestellVorschlag;int
syncobj_0x3134423035313534;IdTransportEinheit;int
syncobj_0x3134423035313534;BestellMengeTE;int
syncobj_0x3134423035313534;BestellMengeHE;int
syncobj_0x3134423035313534;TransportEinheitTyp;int
syncobj_0x3136413432424434;ProductionReportData_ProductionReportDataId;int
syncobj_0x3139364546423844;IdJournalLeistungsPosition;int
syncobj_0x3139364546423844;IdJournalPosition;int
syncobj_0x3139364546423844;PositionNr;int
syncobj_0x3139364546423844;IdBezugsJournalWarenPosition;int
syncobj_0x3139414339414245;ProductionReport_ProductionReportId;int
syncobj_0x3142424339463146;IdEAIFakturaPosition;int
syncobj_0x3145314431423431;eReporting_IdWerk;int
syncobj_0x3145314431423431;IdBestellVorschlag;int
syncobj_0x3145314431423431;BestellVorschlagRevision;int
syncobj_0x3145453536333938;IdEDIDokumentPosition;int
syncobj_0x3146424636393335;ReportId;int
syncobj_0x3230303445363933;IdBestellPosition;int
syncobj_0x3230303445363933;IdBestellung;int
syncobj_0x3230303445363933;IdRahmenbestellungPosition;int
syncobj_0x3230303445363933;IdJournalBestellPosition;int
syncobj_0x3230303445363933;PositionsStatus;int
syncobj_0x3230303445363933;IdJournalPosition;int
syncobj_0x3230303445363933;IdJournalWarenPosition;int
syncobj_0x3231304545354137;IdJournalPosition;int
syncobj_0x3231304545354137;IdBasisJournalPosition;int
syncobj_0x3231304545354137;PositionNr;int
syncobj_0x3231304545354137;IdJournalBestellPosition;int
syncobj_0x3231304545354137;IdBestellung;int
syncobj_0x3231304545354137;IdAuftragsPosition;int
syncobj_0x3231304545354137;IdBestellungPosition;int
syncobj_0x3231304545354137;IdAuftragsBestPosition;int
syncobj_0x3231304545354137;IdLieferscheinPosition;int
syncobj_0x3231304545354137;IdRechnungsPosition;int
syncobj_0x3231304545354137;IdGutschriftPosition;int
syncobj_0x3231304545354137;IdBestellVorschlag;int
syncobj_0x3231304545354137;IdBestellVorschlagPosition;int
syncobj_0x3231304545354137;BestellungPositionNr;int
syncobj_0x3231304545354137;AuftragsBestPositionNr;int
syncobj_0x3231304545354137;LieferscheinPositionNr;int
syncobj_0x3231304545354137;RechnungPositionNr;int
syncobj_0x3231304545354137;GutschriftPositionNr;int
syncobj_0x3232384146414443;PositionsTyp;int
syncobj_0x3232384146414443;IdBlockingOrder;int
syncobj_0x3232384146414443;IdReworkOrder;int
syncobj_0x3235343336373536;ImportNummer;int
syncobj_0x3235343336373536;IdEDIDokumentPosition;int
syncobj_0x3235343336373536;EdiImportStatus;int
syncobj_0x3235343336373536;EdiImportPlausiKategorie;int
syncobj_0x3235343336373536;EdiImportPlausi;int
syncobj_0x3235343336373536;EdiImportAkzeptanz;int
syncobj_0x3236324641363845;IdRahmenBestellung;int
syncobj_0x3236433930464332;IdJournalPosition;int
syncobj_0x3236433930464332;IdJournalWarenPosition;int
syncobj_0x3236433930464332;IdLieferscheinPosition;int
syncobj_0x3236433930464332;IdEDIDokumentPosition;int
syncobj_0x3236454631454539;IdKomponentenAusgabe;int
syncobj_0x3239313143323732;IdTransportTyp;int
syncobj_0x3239313143323732;IdGlobalTransportTyp;int
syncobj_0x3241313633323536;AxExportiert;int
syncobj_0x3242453731414236;IdRahmenBestellung;int
syncobj_0x3244433237313735;ProductionReportData_ProductionReportDataId;int
syncobj_0x3332414633334634;IdEDIPositionDetail;int
syncobj_0x3332414633334634;IdEDIDokumentPosition;int
syncobj_0x3333324632454545;PositionNr;int
syncobj_0x3333324632454545;IdJournalPosition;int
syncobj_0x3333324632454545;IdJournalWarenPosition;int
syncobj_0x3334323131334543;IdRezPos;int
syncobj_0x3334383039393936;IdBlockingOrdersPosition;int
syncobj_0x3334383039393936;IdBlockingOrder;int
syncobj_0x3334383039393936;IdLagerPosition;int
syncobj_0x3334383039393936;IdReworkOrder;int
syncobj_0x3334383039393936;IdProduktionsPosition;int
syncobj_0x3335423735303335;IdProdBereich_eReporting;int
syncobj_0x3336303443434641;IdLieferscheinPosition;int
syncobj_0x3336303443434641;Position;int
syncobj_0x3336353232424531;IdBestellung;int
syncobj_0x3337423033373130;IdBlockingOrder;int
syncobj_0x3337423033373130;IdReworkOrder;int
syncobj_0x3338423244453043;IdBestellMengenGrenzen;int
syncobj_0x3338464535344242;bpos_kunde_id;int
syncobj_0x3338464535344242;bpos_artikel_id;int
syncobj_0x3338464535344242;bpos_skonto_tage;int
syncobj_0x3338464535344242;bpos_netto_tage;int
syncobj_0x3338464535344242;bpos_formfaktor;int
syncobj_0x3338464535344242;bpos_IDwerkzeug;int
syncobj_0x3338464535344242;bpos_blaskopf_id;int
syncobj_0x3338464535344242;bpos_maschtypbudget_id;int
syncobj_0x3338464535344242;bpos_stich;int
syncobj_0x3338464535344242;bpos_menge_jahr;int
syncobj_0x3338464535344242;bpos_material1_id;int
syncobj_0x3338464535344242;bpos_material1_lief_id;int
syncobj_0x3338464535344242;bpos_material2_id;int
syncobj_0x3338464535344242;bpos_material2_lief_id;int
